Section,C1,L=1.0,L=1.5,L=2.0,L=2.5,L=3.0,L=3.5,L=4.0,L=5.0,L=6.0,L=7.0,L=8.0,L=9.0,L=10.0,L=11.0,L=12.0,L=13.0,L=14.0,Iy_cm4
1016 x 305 x 584,1,6870,6870,6870,6870,6870,6550,6240,5700,5240,4840,4500,4200,3940,3710,3500,3320,3160,1246000
1016 x 305 x 584,1.13,6870,6870,6870,6870,6870,6850,6570,6060,5610,5220,4880,4580,4300,4060,3850,3650,3480,1246000
1016 x 305 x 584,1.35,6870,6870,6870,6870,6870,6870,6870,6550,6140,5770,5440,5140,4870,4620,4400,4190,4000,1246000
1016 x 305 x 584,1.5,6870,6870,6870,6870,6870,6870,6870,6830,6440,6090,5770,5480,5210,4970,4740,4530,4330,1246000
1016 x 305 x 584,1.77,6870,6870,6870,6870,6870,6870,6870,6870,6870,6570,6280,6010,5750,5510,5290,5080,4880,1246000
1016 x 305 x 584,2,6870,6870,6870,6870,6870,6870,6870,6870,6870,6870,6640,6380,6140,5920,5700,5500,5300,1246000
1016 x 305 x 584,2.5,6870,6870,6870,6870,6870,6870,6870,6870,6870,6870,6870,6870,6820,6620,6420,6240,6060,1246000
1016 x 305 x 494,1,5970,5970,5970,5970,5860,5550,5260,4750,4310,3940,3620,3340,3100,2900,2720,2560,2420,1028000
1016 x 305 x 494,1.13,5970,5970,5970,5970,5970,5820,5550,5070,4640,4270,3940,3660,3410,3190,3000,2830,2670,1028000
1016 x 305 x 494,1.35,5970,5970,5970,5970,5970,5970,5950,5510,5110,4760,4430,4150,3890,3660,3450,3260,3090,1028000
1016 x 305 x 494,1.5,5970,5970,5970,5970,5970,5970,5970,5760,5390,5040,4730,4440,4190,3950,3740,3540,3360,1028000
1016 x 305 x 494,1.77,5970,5970,5970,5970,5970,5970,5970,5970,5800,5480,5190,4920,4660,4430,4220,4020,3830,1028000
1016 x 305 x 494,2,5970,5970,5970,5970,5970,5970,5970,5970,5970,5790,5520,5260,5020,4790,4580,4380,4190,1028000
1016 x 305 x 494,2.5,5970,5970,5970,5970,5970,5970,5970,5970,5970,5970,5970,5860,5640,5440,5240,5060,4880,1028000
1016 x 305 x 438,1,5300,5300,5300,5300,5170,4890,4620,4150,3740,3400,3100,2850,2630,2450,2290,2150,2020,910000
1016 x 305 x 438,1.13,5300,5300,5300,5300,5300,5140,4890,4440,4040,3690,3380,3120,2890,2700,2520,2360,2230,910000
1016 x 305 x 438,1.35,5300,5300,5300,5300,5300,5300,5250,4840,4460,4120,3820,3550,3310,3100,2910,2740,2580,910000
1016 x 305 x 438,1.5,5300,5300,5300,5300,5300,5300,5300,5060,4710,4380,4090,3820,3580,3360,3160,2980,2820,910000
1016 x 305 x 438,1.77,5300,5300,5300,5300,5300,5300,5300,5300,5080,4780,4500,4240,4000,3780,3580,3390,3220,910000
1016 x 305 x 438,2,5300,5300,5300,5300,5300,5300,5300,5300,5300,5060,4800,4550,4320,4100,3900,3720,3540,910000
1016 x 305 x 438,2.5,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5100,4890,4690,4500,4320,4150,910000
1016 x 305 x 415,1,4990,4990,4990,4990,4840,4570,4320,3860,3470,3140,2850,2610,2410,2240,2080,1950,1840,853000
1016 x 305 x 415,1.13,4990,4990,4990,4990,4990,4800,4560,4130,3740,3410,3120,2870,2650,2460,2300,2150,2020,853000
1016 x 305 x 415,1.35,4990,4990,4990,4990,4990,4990,4910,4510,4150,3820,3530,3270,3040,2830,2650,2490,2340,853000
1016 x 305 x 415,1.5,4990,4990,4990,4990,4990,4990,4990,4730,4380,4060,3780,3520,3280,3080,2890,2710,2560,853000
1016 x 305 x 415,1.77,4990,4990,4990,4990,4990,4990,4990,4990,4740,4440,4170,3920,3690,3470,3280,3100,2940,853000
1016 x 305 x 415,2,4990,4990,4990,4990,4990,4990,4990,4990,4980,4710,4450,4210,3990,3780,3580,3400,3230,853000
1016 x 305 x 415,2.5,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4940,4730,4530,4340,4150,3970,3810,853000
1016 x 305 x 393,1,4720,4720,4720,4720,4570,4310,4070,3630,3250,2930,2660,2430,2240,2070,1930,1800,1690,808000
1016 x 305 x 393,1.13,4720,4720,4720,4720,4720,4530,4300,3890,3520,3190,2910,2670,2460,2280,2120,1980,1860,808000
1016 x 305 x 393,1.35,4720,4720,4720,4720,4720,4720,4630,4250,3900,3580,3300,3050,2820,2630,2450,2300,2160,808000
1016 x 305 x 393,1.5,4720,4720,4720,4720,4720,4720,4720,4450,4120,3810,3530,3280,3060,2850,2670,2510,2360,808000
